"date_id","origin_id","type_id","tag_id","count"
1048,276,0,459,1
1048,276,0,7342,1
1048,276,0,4666,1
1048,276,0,38,1
1047,10,0,7341,1
1047,10,0,899,1
1049,710,6,7348,1
1047,10,0,11,1
1049,710,22,7348,1
1049,710,22,7349,1
1052,0,0,3895,1
1052,0,0,7355,1
1052,0,0,7354,1
1052,0,0,5911,1
1052,0,0,3894,1
1051,138,0,7353,1
1051,138,0,1988,1
1051,138,0,1144,1
1051,138,0,2195,1
1051,138,0,247,1
1051,138,0,205,1
1051,138,0,1516,1
1051,138,0,1166,1
1051,138,0,225,1
1051,138,0,237,1
1050,2,0,68,1
1050,2,0,7352,1
1050,2,0,2173,1
1050,210,0,7351,1
1050,496,0,1958,1
1050,496,0,459,1
1050,496,0,1053,1
1050,496,0,7350,1
1049,710,6,7349,1
1052,10,0,7356,1
1047,10,0,46,1
1047,10,0,78,1
1044,440,0,5336,1
1044,440,0,7333,1
1044,440,0,7332,1
1044,440,0,259,1
1044,440,0,1534,1
1044,440,0,5517,1
1044,440,0,4152,1
1044,440,0,7331,1
1043,398,13,597,1
1043,398,13,3759,1
1043,398,13,113,1
1043,398,13,7330,1
1043,398,13,382,1
1043,398,13,845,1
1043,398,13,284,1
1042,453,0,7329,1
1042,453,0,7328,1
1042,453,0,7327,1
1042,453,0,7326,1
1042,453,0,72,1
1042,453,0,210,1
1042,453,0,7325,1
1042,453,0,11,1
1044,440,0,7334,1
1047,10,0,7340,1
1044,440,0,7335,1
1045,707,6,7336,1
1047,276,0,1250,1
1047,276,0,203,1
1047,276,0,7339,1
1047,276,0,4002,1
1047,276,0,4001,1
1047,276,0,6855,1
1047,276,0,38,1
1047,709,0,2241,1
1047,709,0,275,1
1046,708,0,2934,1
1046,708,0,319,1
1046,708,0,5371,1
1046,708,0,6689,1
1046,708,0,986,1
1046,708,0,2884,1
1046,708,0,2056,1
1046,708,0,7286,1
1045,707,6,2231,1
1045,707,6,4723,1
1045,707,6,7338,1
1045,707,6,4599,1
1045,707,6,3737,1
1045,707,6,7337,1
1045,707,6,38,1
1035,398,0,845,1
1066,378,0,1644,1
1066,378,0,4512,1
1086,726,13,99,1
1086,726,13,535,1
1086,725,0,7539,1
1086,725,0,7538,1
1086,725,0,560,1
1086,725,0,2884,1
1086,725,0,565,1
1086,725,0,7537,1
1086,725,0,7536,1
1086,725,0,7535,1
1086,726,13,7540,1
1086,725,0,7534,1
1086,725,0,7533,1
1085,210,0,4225,1
1085,210,0,931,1
1085,210,0,1250,1
1085,210,0,8,1
1085,210,0,7532,1
1085,210,0,2884,1
1085,210,0,7531,1
1085,210,0,7530,1
