"date_id","origin_id","type_id","tag_id","count"
1038,295,19,23,1
1038,295,9,23,1
1038,295,2,23,1
1038,342,0,23,1
1039,2,13,144,1
1040,4,8,171,1
1040,705,0,84,1
1041,430,0,223,1
1042,706,13,70,1
1042,453,0,8,1
1043,398,13,917,1
1044,440,0,779,1
1045,707,6,7,1
1046,708,0,131,1
1047,709,0,209,1
1047,276,0,7,1
1034,10,0,35,1
1018,697,8,43,1
1033,93,0,209,1
1032,703,22,162,1
1019,210,0,8,1
1019,93,0,615,1
1020,2,0,804,1
1020,31,11,229,1
1020,31,12,229,1
1021,210,0,123,1
1022,210,0,8,1
1023,698,11,33,1
1023,698,12,33,1
1024,699,0,915,1
1025,0,0,48,1
1025,0,15,43,1
1026,276,0,916,1
1027,700,0,325,1
1028,453,0,8,1
1029,701,0,242,1
1030,10,0,224,1
1031,702,0,7,1
1031,295,0,242,1
1032,4,0,597,1
1032,703,24,162,1
1033,210,0,8,1
991,683,23,545,1
1107,10,20,940,1
1108,723,0,230,1
1188,714,0,976,1
1189,276,0,363,1
1190,769,0,977,1
1191,770,0,43,1
1192,295,0,364,1
1192,2,31,171,1
1192,2,0,59,1
1192,31,0,23,1
1193,210,0,251,1
1187,768,16,975,1
1194,276,0,978,1
1195,481,6,895,1
1195,481,8,895,1
1196,714,0,272,1
1197,276,0,123,1
1198,453,13,979,1
1199,31,11,16,1
1199,31,12,16,1
1200,276,0,229,1
1201,120,0,980,1
1194,2,3,272,1
1186,276,0,442,1
1185,295,13,144,1
1185,675,0,230,1
1172,295,0,968,1
1173,714,11,5,1
1173,714,9,5,1
1173,714,12,5,1
1173,714,8,5,1
1173,2,0,272,1
1174,295,0,33,1
1175,762,0,39,1
1176,714,4,272,1
1177,56,0,969,1
1178,18,0,970,1
1179,763,0,70,1
1180,0,0,580,1
1180,11,0,209,1
1181,764,28,971,1
1181,276,0,19,1
1182,765,0,972,1
1182,295,0,153,1
1182,10,0,973,1
1183,766,0,974,1
1184,767,0,926,1
1202,723,0,981,1
1203,10,0,17,1
1204,120,14,364,1
1204,771,0,608,1
1221,17,0,988,1
1222,2,0,176,1
1223,10,0,959,1
1224,723,9,909,1
1224,723,18,909,1
1225,780,0,209,1
1226,781,0,346,1
1227,378,0,70,1
1228,0,0,35,1
1229,782,0,43,1
1230,10,0,946,1
1231,68,0,590,1
1232,0,0,35,1
1233,0,0,35,1
1233,295,0,229,1
1234,783,6,364,1
1234,10,14,131,1
1235,120,0,35,1
1235,2,0,989,1
1236,210,0,431,1
1237,27,0,990,1
1221,10,0,987,1
1171,0,8,35,1
1221,143,0,334,1
1219,779,0,229,1
1205,772,23,23,1
1206,0,28,745,1
1207,276,0,982,1
1207,276,0,363,1
1208,773,0,439,1
1209,774,0,983,1
1210,775,0,984,1
1210,69,16,87,1
1210,295,0,364,1
1211,776,0,985,1
1212,411,6,272,1
1213,2,12,804,1
1214,71,0,23,1
1214,11,8,209,1
1215,777,0,153,1
1216,723,3,242,1
1217,210,0,986,1
1218,778,0,70,1
1218,714,0,272,1
1218,2,9,16,1
1218,2,18,16,1
1220,276,0,8,1
1171,0,2,35,1
1170,276,6,967,1
1169,138,0,23,1
1123,210,0,8,1
1124,738,0,943,1
1124,295,0,765,1
1124,714,11,944,1
1124,714,9,944,1
1125,739,0,603,1
1126,210,17,171,1
1127,740,0,945,1
1127,741,0,946,1
1127,10,0,947,1
1128,742,0,16,1
1129,743,0,167,1
1130,276,8,948,1
1131,210,0,634,1
1131,744,6,949,1
1132,2,9,48,1
1132,2,18,48,1
1133,10,0,950,1
1134,745,6,951,1
1134,745,8,951,1
1135,746,14,35,1
1122,150,0,488,1
1135,746,9,35,1
1121,295,0,878,1
1120,276,8,35,1
1109,675,0,534,1
1110,210,0,8,1
1111,734,0,521,1
1112,120,6,8,1
1112,120,9,8,1
1112,120,18,8,1
1112,210,7,8,1
1113,0,0,35,1
1114,31,0,23,1
1114,342,0,23,1
1115,0,0,35,1
1115,735,0,597,1
1116,276,0,363,1
1116,295,11,941,1
1116,295,9,941,1
1117,276,0,180,1
1118,0,0,1,1
1119,736,0,942,1
1120,737,0,708,1
1120,276,14,35,1
1120,276,9,35,1
1120,276,0,363,1
1108,733,14,867,1
1135,10,0,364,1
1136,295,0,23,1
1155,754,13,951,1
1156,2,0,14,1
1157,210,0,10,1
1158,755,6,745,1
1158,755,13,745,1
1158,755,2,745,1
1158,328,0,8,1
1158,2,5,16,1
1158,2,8,16,1
1159,0,0,13,1
1160,756,0,44,1
1161,295,0,548,1
1162,465,0,964,1
1162,723,9,933,1
1163,757,0,965,1
1164,758,0,765,1
1164,11,0,229,1
1165,759,0,966,1
1166,760,13,227,1
1167,761,9,84,1
1168,210,0,792,1
1154,753,3,923,1
1136,747,0,952,1
1153,2,6,963,1
1152,365,0,217,1
1137,10,0,819,1
1138,210,7,851,1
1139,210,0,953,1
1140,210,0,534,1
1140,11,32,209,1
1140,11,8,209,1
1140,639,6,954,1
1140,639,8,954,1
1141,748,0,805,1
1142,0,17,35,1
1143,620,0,955,1
1144,749,0,872,1
1144,210,0,956,1
1145,648,6,431,1
1146,10,0,957,1
1147,750,0,958,1
1148,0,0,959,1
1149,751,33,4,1
1149,751,3,4,1
1150,752,0,960,1
1151,295,0,961,1
1153,0,0,962,1
990,682,10,272,1
989,210,0,7,1
988,364,0,488,1
834,614,0,8,1
835,10,0,324,1
836,615,0,843,1
837,10,0,844,1
838,616,0,845,1
839,0,20,8,1
839,0,10,8,1
839,210,0,8,1
839,2,7,446,1
833,613,0,842,1
840,78,0,70,1
841,210,7,8,1
842,617,0,70,1
843,618,21,227,1
843,295,0,364,1
844,619,21,846,1
844,620,21,847,1
845,276,0,7,1
845,276,9,363,1
846,621,17,9,1
840,210,0,63,1
832,612,0,16,1
831,0,0,841,1
830,611,14,768,1
816,602,16,834,1
817,210,0,8,1
818,603,0,835,1
819,276,0,39,1
820,453,0,836,1
820,276,0,304,1
821,0,0,837,1
822,210,0,838,1
823,604,12,147,1
823,604,4,147,1
823,605,0,839,1
824,606,0,233,1
824,607,0,431,1
825,210,7,8,1
825,276,0,123,1
826,608,29,604,1
827,609,0,209,1
827,610,3,4,1
828,2,0,840,1
829,501,0,129,1
829,210,0,8,1
846,196,21,774,1
846,10,21,848,1
847,93,21,743,1
848,120,0,133,1
861,626,2,359,1
862,627,0,855,1
862,276,0,178,1
863,628,18,176,1
863,629,14,170,1
863,630,2,790,1
863,210,0,534,1
864,481,0,627,1
864,276,0,19,1
866,210,0,507,1
866,365,0,8,1
867,10,0,804,1
867,10,29,44,1
868,0,17,35,1
868,10,8,48,1
869,631,0,79,1
870,632,0,66,1
871,295,0,767,1
872,210,0,39,1
873,276,0,321,1
874,2,5,16,1
860,10,6,171,1
815,10,9,1,1
860,120,0,854,1
859,2,0,272,1
849,586,8,251,1
850,622,14,849,1
850,10,18,850,1
850,275,0,785,1
851,210,24,65,1
852,623,0,49,1
852,10,10,774,1
853,378,0,133,1
854,624,6,14,1
854,624,7,14,1
854,624,2,14,1
854,624,16,14,1
854,624,1,14,1
855,625,13,23,1
855,210,7,851,1
855,210,0,8,1
855,276,0,852,1
855,276,0,363,1
856,276,0,242,1
857,0,25,35,1
858,276,0,769,1
860,0,0,853,1
814,276,0,180,1
813,2,4,263,1
813,601,3,24,1
781,0,7,816,1
781,10,0,817,1
782,276,0,818,1
782,581,0,442,1
783,582,0,819,1
784,583,0,123,1
784,17,23,479,1
